target,candidate,score
"Liberated UN ballot staffers in Afghanistan excitedly await reinstatement on <b>...</b> 24th November 2004 - Following close to a month's confinement, three United Nations vote facilitators released recently voiced appreciation toward the Afghani populace for their assistance through this challenging period and are enthusiastic about returning to their roles.","Liberated UN election workers in Afghanistan, held captive for nearly a month, express gratitude for public support and eagerly anticipate resuming their duties.",1.0
Freed UN electoral workers in Afghanistan express gratitude for public support during their ordeal and anticipate returning to their duties.,Freed UN electoral workers in Afghanistan look forward to resuming &lt;b&gt;...&lt;/b&gt; 24 November 2004 - Three United Nations election workers freed yesterday nearly a month after being abducted in Afghanistan today thanked the Afghan people for the support shown during their ordeal and said they were looking forward to getting back to ,1.0
Freed UN electoral workers in Afghanistan express gratitude for public support during their ordeal and anticipate returning to their duties.,"Liberated UN election workers in Afghanistan, held captive for nearly a month, express gratitude for public support and eagerly anticipate resuming their duties.",1.0
"Liberated UN election workers in Afghanistan, held captive for nearly a month, express gratitude for public support and eagerly anticipate resuming their duties.",Freed UN electoral workers in Afghanistan look forward to resuming &lt;b&gt;...&lt;/b&gt; 24 November 2004 - Three United Nations election workers freed yesterday nearly a month after being abducted in Afghanistan today thanked the Afghan people for the support shown during their ordeal and said they were looking forward to getting back to ,1.0
"Liberated UN election workers in Afghanistan, held captive for nearly a month, express gratitude for public support and eagerly anticipate resuming their duties.",Freed UN electoral workers in Afghanistan express gratitude for public support during their ordeal and anticipate returning to their duties.,1.0
"Released UN poll staff in Afghanistan eagerly anticipate restarting work on Nov 24, 2004 - Three United Nations election personnel recently liberated after almost a month's captivity in Afghanistan expressed gratitude towards the local population for their solidarity throughout the ordeal and are excited to return to their duties.",Freed UN electoral workers in Afghanistan look forward to resuming &lt;b&gt;...&lt;/b&gt; 24 November 2004 - Three United Nations election workers freed yesterday nearly a month after being abducted in Afghanistan today thanked the Afghan people for the support shown during their ordeal and said they were looking forward to getting back to ,1.0
"Released UN poll staff in Afghanistan eagerly anticipate restarting work on Nov 24, 2004 - Three United Nations election personnel recently liberated after almost a month's captivity in Afghanistan expressed gratitude towards the local population for their solidarity throughout the ordeal and are excited to return to their duties.",Freed UN electoral workers in Afghanistan express gratitude for public support during their ordeal and anticipate returning to their duties.,1.0
"Recently released UN ballot employees in Afghanistan enthusiastically await the continuation of their tasks on 24th November 2004 - Following their release yesterday, three United Nations voting officers kidnapped in Afghanistan conveyed appreciation to the Afghans for their sympathetic stance amidst the crisis and expressed eagerness to go back to their responsibilities.",Freed UN electoral workers in Afghanistan look forward to resuming &lt;b&gt;...&lt;/b&gt; 24 November 2004 - Three United Nations election workers freed yesterday nearly a month after being abducted in Afghanistan today thanked the Afghan people for the support shown during their ordeal and said they were looking forward to getting back to ,1.0
"Recently released UN ballot employees in Afghanistan enthusiastically await the continuation of their tasks on 24th November 2004 - Following their release yesterday, three United Nations voting officers kidnapped in Afghanistan conveyed appreciation to the Afghans for their sympathetic stance amidst the crisis and expressed eagerness to go back to their responsibilities.",Freed UN electoral workers in Afghanistan express gratitude for public support during their ordeal and anticipate returning to their duties.,1.0
Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,Lifestyle expert Martha Stewart commences a five-month incarceration in the United States due to falsely reporting on investment matters.,1.0
Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",1.0
Lifestyle expert Martha Stewart commences a five-month incarceration in the United States due to falsely reporting on investment matters.,Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
Lifestyle expert Martha Stewart commences a five-month incarceration in the United States due to falsely reporting on investment matters.,"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",1.0
American lifestyle mentor Martha Stewart initiates a five-month imprisonment period due to misrepresenting financial investments.,Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
American lifestyle mentor Martha Stewart initiates a five-month imprisonment period due to misrepresenting financial investments.,"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",1.0
Lifestyle expert Martha Stewart commences a five-month prison sentence for providing false information regarding her financial investments.,Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
Lifestyle expert Martha Stewart commences a five-month prison sentence for providing false information regarding her financial investments.,"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",1.0
"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
"Lifestyle icon Martha Stewart serves a five-month sentence for providing false information about her financial investments, subsequently managing a successful career comeback.",Lifestyle expert Martha Stewart commences a five-month prison sentence for providing false information regarding her financial investments.,1.0
Lifestyle expert Martha Stewart begins serving a five-month sentence in jail for making false statements regarding her financial dealings.,Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
Lifestyle expert Martha Stewart begins serving a five-month sentence in jail for making false statements regarding her financial dealings.,Lifestyle expert Martha Stewart commences a five-month prison sentence for providing false information regarding her financial investments.,1.0
Renowned lifestyle authority Martha Stewart initiates a five-month custodial sentence due to providing untruthful information about her stock market activities.,Martha Stewart starts prison term US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.,1.0
Renowned lifestyle authority Martha Stewart initiates a five-month custodial sentence due to providing untruthful information about her stock market activities.,Lifestyle expert Martha Stewart commences a five-month prison sentence for providing false information regarding her financial investments.,1.0
"World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.","The Associated Press reports that satellites and telecommunication lines are delivering updates on the US presidential race to a remote internet café located 7,200 miles away in Addis Ababa, Ethiopia's capital city. There, local resident Girma Hagos visits daily to stay informed about the latest developments in the American elections.",1.0
"World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.","Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.",1.0
"The Associated Press reports that satellites and telecommunication lines are delivering updates on the US presidential race to a remote internet café located 7,200 miles away in Addis Ababa, Ethiopia's capital city. There, local resident Girma Hagos visits daily to stay informed about the latest developments in the American elections.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"The Associated Press reports that satellites and telecommunication lines are delivering updates on the US presidential race to a remote internet café located 7,200 miles away in Addis Ababa, Ethiopia's capital city. There, local resident Girma Hagos visits daily to stay informed about the latest developments in the American elections.","Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.",1.0
"Through satellites and communication cables, the United States presidential campaign is being broadcasted to an internet cafe situated 7,200 miles away from Washington D.C., specifically in Addis Ababa, the capital of Ethiopia. Here, Girma Hagos regularly frequents this establishment to receive up-to-date information regarding the ongoing electoral contest.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"Through satellites and communication cables, the United States presidential campaign is being broadcasted to an internet cafe situated 7,200 miles away from Washington D.C., specifically in Addis Ababa, the capital of Ethiopia. Here, Girma Hagos regularly frequents this establishment to receive up-to-date information regarding the ongoing electoral contest.","Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.",1.0
"Global interest in U.S. politics drives international media coverage, enabling individuals like Girma Hagos in Addis Ababa, Ethiopia, to stay informed about the American election through various channels such as the internet and television.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"Global interest in U.S. politics drives international media coverage, enabling individuals like Girma Hagos in Addis Ababa, Ethiopia, to stay informed about the American election through various channels such as the internet and television.","Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.",1.0
"Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"Global reliance on internet and television media fuels widespread interest in the U.S. Presidential race, connecting individuals like Girma Hagos in Ethiopia with the latest election developments from thousands of miles away.","Global interest in U.S. politics drives international media coverage, enabling individuals like Girma Hagos in Addis Ababa, Ethiopia, to stay informed about the American election through various channels such as the internet and television.",1.0
"Global Community Tracks US Presidential Contest Through Internet & Television (Associated Press) - Girma Hagos, a resident of Addis Ababa, Ethiopia's capital, relies on satellite and phone lines to access updates on the American presidential race from a local cybercafe, located approximately 7,200 miles away.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"Global Community Tracks US Presidential Contest Through Internet & Television (Associated Press) - Girma Hagos, a resident of Addis Ababa, Ethiopia's capital, relies on satellite and phone lines to access updates on the American presidential race from a local cybercafe, located approximately 7,200 miles away.","Global interest in U.S. politics drives international media coverage, enabling individuals like Girma Hagos in Addis Ababa, Ethiopia, to stay informed about the American election through various channels such as the internet and television.",1.0
"Globe Keeps Tabs on U.S. Election Fight via Internet & Broadcast (AP) - In Addis Ababa, the Ethiopian capital some 7,200 miles off, Girma Hagos turns to a nearby internet café and communication networks for his regular update on the American presidential campaign, as per Associated Press.","World Follows U.S. Race by Internet, TV (AP) AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",1.0
"Globe Keeps Tabs on U.S. Election Fight via Internet & Broadcast (AP) - In Addis Ababa, the Ethiopian capital some 7,200 miles off, Girma Hagos turns to a nearby internet café and communication networks for his regular update on the American presidential campaign, as per Associated Press.","Global interest in U.S. politics drives international media coverage, enabling individuals like Girma Hagos in Addis Ababa, Ethiopia, to stay informed about the American election through various channels such as the internet and television.",1.0
"UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.","According to a concerning United Nations report, the global fight against terrorism continues to face significant challenges, with al-Qaeda remaining a substantial menace.",1.0
"UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.","A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.",1.0
"According to a concerning United Nations report, the global fight against terrorism continues to face significant challenges, with al-Qaeda remaining a substantial menace.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"According to a concerning United Nations report, the global fight against terrorism continues to face significant challenges, with al-Qaeda remaining a substantial menace.","A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.",1.0
"An apprehensive United Nations document reveals that the international campaign against terror persists in facing considerable difficulties, due to al-Qaeda's ongoing potent menace.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"An apprehensive United Nations document reveals that the international campaign against terror persists in facing considerable difficulties, due to al-Qaeda's ongoing potent menace.","A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.",1.0
"A concerning United Nations report reveals that the global fight against terrorism is struggling, as groups like al-Qaeda continue to pose a significant threat worldwide.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"A concerning United Nations report reveals that the global fight against terrorism is struggling, as groups like al-Qaeda continue to pose a significant threat worldwide.","A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.",1.0
"A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"A disconcerting United Nations report suggests the international struggle against terrorism remains unsuccessful, with organizations such as al-Qaeda maintaining their significant threat level.","A concerning United Nations report reveals that the global fight against terrorism is struggling, as groups like al-Qaeda continue to pose a significant threat worldwide.",1.0
"Global Fight Against Terror Continues to Fall Short, Warns UN Report; Al-Qaida Remains a Major Threat, States Startling Findings from the International Body.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"Global Fight Against Terror Continues to Fall Short, Warns UN Report; Al-Qaida Remains a Major Threat, States Startling Findings from the International Body.","A concerning United Nations report reveals that the global fight against terrorism is struggling, as groups like al-Qaeda continue to pose a significant threat worldwide.",1.0
"According to a startling report from the United Nations, the global battle against terror continues to falter, with al-Qaida remaining a formidable peril, unchanged in its capacity to threaten.","UN Report: Anti-Terror War Still Losing The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report.",1.0
"According to a startling report from the United Nations, the global battle against terror continues to falter, with al-Qaida remaining a formidable peril, unchanged in its capacity to threaten.","A concerning United Nations report reveals that the global fight against terrorism is struggling, as groups like al-Qaeda continue to pose a significant threat worldwide.",1.0
"Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.","Zimbabwe expels investigators from South Africa's largest labor organization for disregarding a prohibition issued by their government, according to the head of the visiting delegation.",1.0
"Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.","Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.",1.0
"Zimbabwe expels investigators from South Africa's largest labor organization for disregarding a prohibition issued by their government, according to the head of the visiting delegation.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"Zimbabwe expels investigators from South Africa's largest labor organization for disregarding a prohibition issued by their government, according to the head of the visiting delegation.","Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.",1.0
"The immigration authorities in Zimbabwe have directed members of South Africa's major labor group, who were conducting a research expedition, to depart due to their violation of a government restriction, as reported by the chief of the South African squad.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"The immigration authorities in Zimbabwe have directed members of South Africa's major labor group, who were conducting a research expedition, to depart due to their violation of a government restriction, as reported by the chief of the South African squad.","Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.",1.0
"Zimbabwean authorities deported a South African trade union fact-finding delegation upon arrival in Harare, as they defied a government ban, according to the mission's leader.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"Zimbabwean authorities deported a South African trade union fact-finding delegation upon arrival in Harare, as they defied a government ban, according to the mission's leader.","Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.",1.0
"Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"Zimbabwean authorities expelled a South African trade union delegation upon arrival in Harare, as they violated a government ban, according to the mission's leader.","Zimbabwean authorities deported a South African trade union fact-finding delegation upon arrival in Harare, as they defied a government ban, according to the mission's leader.",1.0
"Zimbabwean authorities expelled a delegation from South Africa's largest labor organization for violating a prohibition on their investigative visit, according to the head of the South African group.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"Zimbabwean authorities expelled a delegation from South Africa's largest labor organization for violating a prohibition on their investigative visit, according to the head of the South African group.","Zimbabwean authorities deported a South African trade union fact-finding delegation upon arrival in Harare, as they defied a government ban, according to the mission's leader.",1.0
"Zimbabwean officials in charge of immigration directed the departure of an exploratory team from South Africa's most extensive trade union body due to disobedience of a governmental interdiction, stated the chief of the South African contingent.","Zimbabwe deports South African trade union fact finders HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said.",1.0
"Zimbabwean officials in charge of immigration directed the departure of an exploratory team from South Africa's most extensive trade union body due to disobedience of a governmental interdiction, stated the chief of the South African contingent.","Zimbabwean authorities deported a South African trade union fact-finding delegation upon arrival in Harare, as they defied a government ban, according to the mission's leader.",1.0
"Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.","In the viewpoint of South Africa's President Thabo Mbeki's sibling, present-day Africans have a lower standard of living compared to their circumstances under colonial rule.",1.0
"Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,1.0
"In the viewpoint of South Africa's President Thabo Mbeki's sibling, present-day Africans have a lower standard of living compared to their circumstances under colonial rule.","Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
"In the viewpoint of South Africa's President Thabo Mbeki's sibling, present-day Africans have a lower standard of living compared to their circumstances under colonial rule.",President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,1.0
"According to South Africa's President Thabo Mbeki's brother, contemporary Africans experience a diminished quality of life when contrasted with their existence during the colonial period.","Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
"According to South Africa's President Thabo Mbeki's brother, contemporary Africans experience a diminished quality of life when contrasted with their existence during the colonial period.",President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,1.0
South African President Thabo Mbeki's brother claims that the quality of life for the average African has declined since the colonial period.,"Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
South African President Thabo Mbeki's brother claims that the quality of life for the average African has declined since the colonial period.,President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,1.0
President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,"Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
President Thabo Mbeki's brother argues that Africans have experienced a decline in quality of life since the end of colonialism.,South African President Thabo Mbeki's brother claims that the quality of life for the average African has declined since the colonial period.,1.0
"According to the sibling of South Africa's leader, Thabo Mbeki, the typical African resident has a lower standard of living today compared to the colonial period.","Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
"According to the sibling of South Africa's leader, Thabo Mbeki, the typical African resident has a lower standard of living today compared to the colonial period.",South African President Thabo Mbeki's brother claims that the quality of life for the average African has declined since the colonial period.,1.0
"As per Thabo Mbeki's brother, the ordinary African person experiences less prosperity currently than they did throughout the colonial epoch.","Africa 'better in colonial times' The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki.",1.0
"As per Thabo Mbeki's brother, the ordinary African person experiences less prosperity currently than they did throughout the colonial epoch.",South African President Thabo Mbeki's brother claims that the quality of life for the average African has declined since the colonial period.,1.0
"Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ","The decrease in krill population is causing worry for the Antarctic food web which sustains whales, seals, and penguins; over the last 25 years, there has been a reduction of over 80% in significant ocean areas.",1.0
"Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ","A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.",1.0
"The decrease in krill population is causing worry for the Antarctic food web which sustains whales, seals, and penguins; over the last 25 years, there has been a reduction of over 80% in significant ocean areas.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"The decrease in krill population is causing worry for the Antarctic food web which sustains whales, seals, and penguins; over the last 25 years, there has been a reduction of over 80% in significant ocean areas.","A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.",1.0
"A substantial drop in krill numbers has raised alarm for the Antarctic ecosystem's core, supporting marine life like whales, seals, and penguins; within the past 25 years, these crucial oceanic zones have experienced a decrease exceeding 80%.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"A substantial drop in krill numbers has raised alarm for the Antarctic ecosystem's core, supporting marine life like whales, seals, and penguins; within the past 25 years, these crucial oceanic zones have experienced a decrease exceeding 80%.","A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.",1.0
"Krill, a crucial species in the Antarctic food chain, has experienced a concerning 80% decline over the past 25 years, raising alarms about the potential impact on whales, seals, penguins, and other marine life that depend on them for sustenance.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"Krill, a crucial species in the Antarctic food chain, has experienced a concerning 80% decline over the past 25 years, raising alarms about the potential impact on whales, seals, penguins, and other marine life that depend on them for sustenance.","A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.",1.0
"A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"A crucial link in the Antarctic food chain, krill have suffered a dramatic 80% drop in numbers over the past quarter century, sparking concerns about the impact on whales, seals, penguins, and the broader ecosystem that relies on them.","Krill, a crucial species in the Antarctic food chain, has experienced a concerning 80% decline over the past 25 years, raising alarms about the potential impact on whales, seals, penguins, and other marine life that depend on them for sustenance.",1.0
"A significant decrease, totaling over 80%, in krill populations has been observed in crucial ocean areas during the last 25 years, which poses a threat to the core of the abundant Antarctic food web that sustains whales, seals, and penguins.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"A significant decrease, totaling over 80%, in krill populations has been observed in crucial ocean areas during the last 25 years, which poses a threat to the core of the abundant Antarctic food web that sustains whales, seals, and penguins.","Krill, a crucial species in the Antarctic food chain, has experienced a concerning 80% decline over the past 25 years, raising alarms about the potential impact on whales, seals, penguins, and other marine life that depend on them for sustenance.",1.0
"The primary species supporting the thriving Antarctic ecosystem, namely whales, seals, and penguins, have seen a dramatic drop exceeding 80% in their main food source, krill, across vital marine zones over the past quarter-century, sparking alarm.","Krill decline raises concern for Antarctics food chain the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according ",1.0
"The primary species supporting the thriving Antarctic ecosystem, namely whales, seals, and penguins, have seen a dramatic drop exceeding 80% in their main food source, krill, across vital marine zones over the past quarter-century, sparking alarm.","Krill, a crucial species in the Antarctic food chain, has experienced a concerning 80% decline over the past 25 years, raising alarms about the potential impact on whales, seals, penguins, and other marine life that depend on them for sustenance.",1.0
"As reported by The Times in London, the globally recognized British Broadcasting Corporation, the world's leading public broadcasting organization, intends to diminish nearly a fourth of its 28,000 personnel, thereby instigating the most extensive transformation in its 82-year tenure.","A British fan was penalized with a £1,000 fine and a five-year ban from football stadiums for racially abusing Birmingham City's Dwight Yorke with monkey chants.",0.0
"London's Times reports massive restructuring at BBC, with near 25% reduction in 28k staff members, marking most significant change in corporation's 82-year existence.","Last evening, legislators enacted a measure that extended particular well-liked income tax breaks for the middle class proposed by President Bush, thereby securing a triumph for him during the impending pre-election period.",0.0
"According to The Times in London, the UK's third largest public broker, the British Broadcasting Corporation, plans to reduce its staff by around 25% from its current total of 28,000 employees, marking the most significant overhaul in its 82-year existence.","Headless Haiti Suffers Further Distress - PORT-AU-PRINCE, Haiti, October 7th - Initially appearing as a worn out glove, dark and flexible amidst congested roads, further inspection uncovered toe nails.",0.0
"According to a London newspaper, the world's largest public broadcaster, the British Broadcasting Corporation, is set to cut nearly a quarter of its 28,000 employees in its biggest restructuring in 82 years.","Afghanistan's challenging path to democracy sees electoral progress and significant public engagement, with historic presidential elections marking a key milestone in the country's political transformation, despite continued conflict and instability.",0.0
"London's Times reports massive restructuring at BBC, with near 25% reduction in 28k staff members, marking most significant change in corporation's 82-year existence.","India's software services and BPO industry may encounter a dearth of proficient workforce in the approaching years, as per the statements made by the National Association of Software and Service Companies (NASSCOM) in Delhi.",0.0
"As reported by The Times in London, the globally recognized British Broadcasting Corporation, the world's leading public broadcasting organization, intends to diminish nearly a fourth of its 28,000 personnel, thereby instigating the most extensive transformation in its 82-year tenure.","With Jeter at the helm, the Yankees exude confidence once again. Anticipation grows as we approach a major confrontation during the second game of the American League playoffs. Brace yourself for a monumental face-off!",0.0
"London's Times reports massive restructuring at BBC, with near 25% reduction in 28k staff members, marking most significant change in corporation's 82-year existence.","Google's decision to cut its IPO price range and reduce the number of shares sold by insiders reflects a shift in market expectations, resulting in a significantly smaller public offering than originally anticipated.",0.0
Marsh evades liquidity crisis; Beleaguered insurance agency's banks agree to bypass provision restricting credit access. NEW YORK (Reuters) - Marsh & McLennan Companies.,Lifestyle expert Martha Stewart commences a five-month incarceration in the United States due to falsely reporting on investment matters.,0.0
